Lung'Ie (Principense),Portugues,Tipo,Uso IA
Abya Pipi,Ribeira Pipi         Santa Maa top. Santa Maria,Vocabulario,Dicionário
Abya San Kô,Ribeira San Kô     Santa Rita top. Santa Rita,Vocabulario,Dicionário
Alifandiga,Alfândega           Santa Roza top. Santa Rosa,Vocabulario,Dicionário
Awa Namôrô,Água Namoro         Santana top. Santana,Vocabulario,Dicionário
Bela Vixta,Bela Vista          Santantoni Pikan top. Santo Antônio,Vocabulario,Dicionário
"Picão
    Bon Vêvê",Bom Viver,Vocabulario,Dicionário
Santantoni Sêgundu,Santo Antônio,Vocabulario,Dicionário
Budubudu,Budubudu,Vocabulario,Dicionário
ufaka,Bulufaka,Vocabulario,Dicionário
Santome ki Ie,São Tomé e Príncipe,Vocabulario,Dicionário
Fundan,Fundão,Vocabulario,Dicionário
"Sul
    Gaxpa",Gaspar,Vocabulario,Dicionário
Txyô Ve,Terreiro Velho,Vocabulario,Dicionário
Infantxi Don Enriki,Infante,Vocabulario,Dicionário
Ubadê,Abade,Vocabulario,Dicionário
Uga Filix,Rua Feliz,Vocabulario,Dicionário
Kampanha,Campanha,Vocabulario,Dicionário
Uga Tabaladô,Rua dos,Vocabulario,Dicionário
Kompanhya,Companhia,Vocabulario,Dicionário
"Trabalhadores
    Lapa",Lapa,Vocabulario,Dicionário
Ukampu Avyan,Aeroporto,Vocabulario,Dicionário
Maa Kwaa,Maria Correia,Vocabulario,Dicionário
Umatu Mutendê,Umatu Mutendê,Vocabulario,Dicionário
Mantalegi,Monte Alegre,Vocabulario,Dicionário
Upa Fita,Pau Fita,Vocabulario,Dicionário
Nova Kuba,Nova Cuba,Vocabulario,Dicionário
Ximalô,Ximalô,Vocabulario,Dicionário
Nova Teela,Nova Estrela,Vocabulario,Dicionário
Xipitali Novu,Hospital Novo,Vocabulario,Dicionário
Xipitali Ve,Hospital Velho,Vocabulario,Dicionário
Ôkyê Têêxi,Ôkyê Têêxi,Vocabulario,Dicionário
Xperansa,Esperança,Vocabulario,Dicionário
Otakana,Otakana,Vocabulario,Dicionário
Paakê Ve,Parque Velho          2. top. Estaleiro,Vocabulario,Dicionário
Pêdrêra,Pedreira               Zotona top. Azeitona,Vocabulario,Dicionário
Pinkêtê,Pinkêtê,Vocabulario,Dicionário
Ponta Muzêw,Ponta Museu,Vocabulario,Dicionário
Ponta Usolu,Ponta do Sol,Vocabulario,Dicionário
Pôôtô Ryali,Porto Real,Vocabulario,Dicionário
ôtô,outro,Vocabulario,Dicionário
axi,assim,Vocabulario,Dicionário
podi,poder,Vocabulario,Dicionário
bensa,bênção,Vocabulario,Dicionário
putugêzê,português,Vocabulario,Dicionário
salasa,brincadeira,Vocabulario,Dicionário
dinora,antigamente,Vocabulario,Dicionário
same,senhora,Vocabulario,Dicionário
dyentxi,diante,Vocabulario,Dicionário
sume,senhor,Vocabulario,Dicionário
entê,entre                     partícula de TMA; 3. cop. estar,Vocabulario,Dicionário
fala,falar                        PASS,Vocabulario,Dicionário
fala bê,cumprimentar           te 1. n. país; 2. n. terra,Vocabulario,Dicionário
ipe                     vê,cf. vêsê,Vocabulario,Dicionário
"isto
                  ka",partícula de TMA,Vocabulario,Dicionário
"ega
                  kudi",responder,Vocabulario,Dicionário
"to
                  lisan",lição,Vocabulario,Dicionário
"Ie
                  mesu",mesmo,Vocabulario,Dicionário
mye,esposa,Vocabulario,Dicionário
na salasa,entre pessoas,Vocabulario,Dicionário
ningê-tamwin,adulto,Vocabulario,Dicionário
nunxya,Nossa Senhora,Vocabulario,Dicionário
baana-omi      kantu,quanto             nho adv. nenhum,Vocabulario,Dicionário
karu,caro                pasa v. passar,Vocabulario,Dicionário
sapusapu,sape-,Vocabulario,Dicionário
doba,dobra. Moeda,Vocabulario,Dicionário
ko nho,"nada              sape, graviola (Anona",Vocabulario,Dicionário
dôsu,dois,Vocabulario,Dicionário
sêbê,saber,Vocabulario,Dicionário
doxi,doce,Vocabulario,Dicionário
kwêsa,o quê              taadi n. tarde,Vocabulario,Dicionário
maakita,malagueta          txinta num. trinta,Vocabulario,Dicionário
"um
  fa ô",cf. fa,Vocabulario,Dicionário
urumu,safu (Dacryodes,Vocabulario,Dicionário
fêzê,fazer,Vocabulario,Dicionário
menu,menos               edulis),Vocabulario,Dicionário
"ver
  fuuta",fruta-pão       gostar; 3. v. querer,Vocabulario,Dicionário
vendêdô,vendedor,Vocabulario,Dicionário
inhemi,inhame         mili num. mil,Vocabulario,Dicionário
vintxi,vinte,Vocabulario,Dicionário
kwali,qual    môyô n. penca de banana,Vocabulario,Dicionário
"do
                  akara",banana frita cortada     mampata n. resíduo de óleo de,Vocabulario,Dicionário
"alma
                  akê",pote de barro              mantega n. manteiga,Vocabulario,Dicionário
baana,banana                   masan n. maçã,Vocabulario,Dicionário
baana-gamixeli,banana­         mixikitu 1. n. cf. ufya-mixikitu;,Vocabulario,Dicionário
baana-kongô,banana-do­         mondyoko n. mandioca,Vocabulario,Dicionário
mutambu,armadilha,Vocabulario,Dicionário
baana-masan,banana-maçã,Vocabulario,Dicionário
mutendê,broto de palmeira,Vocabulario,Dicionário
baana-mye,banana-pão,Vocabulario,Dicionário
mutete,cesto feito com folha,Vocabulario,Dicionário
ananás,banana-prata,Vocabulario,Dicionário
pipinu,pepino,Vocabulario,Dicionário
fenza-vêêdê,vagem,Vocabulario,Dicionário
tujyan,tesoura,Vocabulario,Dicionário
fyan-mondyoko,farinha de,Vocabulario,Dicionário
fyan-putuga,farinha de trigo,Vocabulario,Dicionário
tximatxi,tomate,Vocabulario,Dicionário
idô,almofariz,Vocabulario,Dicionário
udumu,pilão,Vocabulario,Dicionário
ikiri,rodilha,Vocabulario,Dicionário
ufya-mixikitu,folha-,Vocabulario,Dicionário
imin,milho,Vocabulario,Dicionário
"pero
                  izê",camarão                    tradicional,Vocabulario,Dicionário
kaani,carne                    ukpami n. secador de peixe,Vocabulario,Dicionário
kilambu,"vestimenta             ukyebu, ukyabu n. quiabo",Vocabulario,Dicionário
usuda,pimenta,Vocabulario,Dicionário
kintxiba,cachimbo,Vocabulario,Dicionário
usuda-malaka,pimenta,Vocabulario,Dicionário
kuxta,custar,Vocabulario,Dicionário
"nha
                  kwaa",corda,Vocabulario,Dicionário
utaji,utaji. Tipo de tempero,Vocabulario,Dicionário
kwentu,coentro                 tradicional,Vocabulario,Dicionário
laanza,laranja,Vocabulario,Dicionário
likatxi,alicate,Vocabulario,Dicionário
makêkê,jiló,Vocabulario,Dicionário
maman,mamão,Vocabulario,Dicionário
fya di vendê      binzela,berinjela,Vocabulario,Dicionário
bôlô,bolo,Vocabulario,Dicionário
kitxi,pequeno,Vocabulario,Dicionário
aji ê vya tê          kola,cola,Vocabulario,Dicionário
kopa,comprar,Vocabulario,Dicionário
pidi vijin ka da     kume,comer,Vocabulario,Dicionário
kuxan,cozinha,Vocabulario,Dicionário
maxkan,manjericão,Vocabulario,Dicionário
migu,amigo,Vocabulario,Dicionário
otalisa,hortaliças,Vocabulario,Dicionário
paxte,pastel,Vocabulario,Dicionário
pemya,pela,Vocabulario,Dicionário
pêxi,peixe,Vocabulario,Dicionário
pixiza,precisar,Vocabulario,Dicionário
sedu,cedo,Vocabulario,Dicionário
tempa,tempero,Vocabulario,Dicionário
vendê,vender,Vocabulario,Dicionário
vijin,vizinho,Vocabulario,Dicionário
wo sê,agora,Vocabulario,Dicionário
xya,somente,Vocabulario,Dicionário
"VOCABULÁRIO
    Afika",África            loza 1. n. loja;              posan n. cidade,Vocabulario,Dicionário
afikanu,africano        2. n. mercearia               pwê v. pôr,Vocabulario,Dicionário
banhu,banho               Luja n. Luzia                 sabudu n. sábado,Vocabulario,Dicionário
baya,dançar               mi pro. 1SG.OD                sadu adj. assado,Vocabulario,Dicionário
bayu,dança                minu 1. adv. um pouco;        seetu adj. certo,Vocabulario,Dicionário
menino    sumana,semana,Vocabulario,Dicionário
mutu,muito               tabwe n. trabalho,Vocabulario,Dicionário
dimingu,domingo,Vocabulario,Dicionário
perna     tudu,tudo,Vocabulario,Dicionário
unôtxi,noite,Vocabulario,Dicionário
uvôdô,festa,Vocabulario,Dicionário
ivin,vinho                2PL.POSS,Vocabulario,Dicionário
uvungu,dança,Vocabulario,Dicionário
kêy,nossa!           paa n. praia,Vocabulario,Dicionário
vogyan,vergonha,Vocabulario,Dicionário
vya,tornar-se,Vocabulario,Dicionário
peleja,brincadeira,Vocabulario,Dicionário
kizomba,kizomba. Tipo                                   we v. ir,Vocabulario,Dicionário
ku ami,comigo          prep. por causa de            xina 1. v. ensinar;,Vocabulario,Dicionário
"aprender
    ku atxi",contigo        pôôkô n. porco,Vocabulario,Dicionário
carne de      zunta,juntar,Vocabulario,Dicionário
kwê,correr                porco assada                  Zwan ant. João,Vocabulario,Dicionário
zanêw,janeiro                        dya-dimingu n. domingo,Vocabulario,Dicionário
fêvêrêw,fevereiro                    sêgunda-fya n. segunda­-feira,Vocabulario,Dicionário
maasu,março                          teesa-fya n. terça-feira,Vocabulario,Dicionário
abili,abril                          kwata-fya n. quarta-feira,Vocabulario,Dicionário
mayu,maio                            kinta-fya n. quinta-feira,Vocabulario,Dicionário
zunhu,junho                          sêxta-fya n. sexta-feira,Vocabulario,Dicionário
zulyu,julho                          sabudu n. sábado,Vocabulario,Dicionário
agôxtô,agosto,Vocabulario,Dicionário
setembu,"setembro                     amanhan, amanha adv. amanhã",Vocabulario,Dicionário
ôtubu,outubro                        aman-pasa adv. depois de,Vocabulario,Dicionário
novembu,novembro,Vocabulario,Dicionário
dezembu,dezembro,Vocabulario,Dicionário
kimoni,kimoni. Roupa       roda n. roda,Vocabulario,Dicionário
ruma,arrumar,Vocabulario,Dicionário
baanku,branco             comprida e cinta usada,Vocabulario,Dicionário
sala,sala,Vocabulario,Dicionário
banda,banda musical,Vocabulario,Dicionário
komesandu,sapatxya v. sapatear,Vocabulario,Dicionário
bayu-nunxya,bayu­           começando                     segwadu 1. adj. seguro;,Vocabulario,Dicionário
koneeta,corneta            2. adj. tradicional,Vocabulario,Dicionário
bigasan,obrigação           konfarya n. confraria         seya n. saia,Vocabulario,Dicionário
bixi,vestir                 kunvitxi n. convite           sobaadu n. sobrado,Vocabulario,Dicionário
bulawê,bulawê. Tipo         kutu n. parte                 Sôkôô n. Nossa Senhora,Vocabulario,Dicionário
lipeta,lipeta. Tipo de,Vocabulario,Dicionário
buluza,blusa                dança tradicional             sokope n. sokope. Tipo,Vocabulario,Dicionário
"dicional
      dansu-kongô",dansu­          ma conj. cf. maxi,Vocabulario,Dicionário
tambô,tambor,Vocabulario,Dicionário
manxa,marcha,Vocabulario,Dicionário
toki,toque,Vocabulario,Dicionário
mbêrêrê,mbêrêrê. Tipo,Vocabulario,Dicionário
dêxa,dêxa. Tipo de                                        tôlôja n. tôlôja. Tipo de,Vocabulario,Dicionário
mê-unôtxi,meia-noite,Vocabulario,Dicionário
dexi,dez                                                txyabeta n. txyabeta.,Vocabulario,Dicionário
fexta,festa                                               Tipo de dança tradicional,Vocabulario,Dicionário
"ficar de pé
      gatxya",voz principal                                      ugalu n. galo,Vocabulario,Dicionário
nêli,nele,Vocabulario,Dicionário
gêêza,igreja                                              ulensu n. lenço,Vocabulario,Dicionário
nixi,aqui,Vocabulario,Dicionário
guupu,grupo                                               uniku adj. único,Vocabulario,Dicionário
"vez
      kabamentu",fim               palito n. paletó              vijyamentu n.,Vocabulario,Dicionário
kalisan,calção                                            vijyamentu. Tipo de,Vocabulario,Dicionário
paryadu,pareado,Vocabulario,Dicionário
"ção tradicional
      kama",cama                   patxya n. parteira,Vocabulario,Dicionário
Vindix Mininu,Vindix,Vocabulario,Dicionário
kanta,cantar                pooto n. porta                Mininu. Tipo de festa,Vocabulario,Dicionário
kantxiga,cantiga            puyta n. puyta. Tipo de,Vocabulario,Dicionário
"tradicional
      kazaku",casaco               dança tradicional             ximintew n. cemitério,Vocabulario,Dicionário
"VOCABULÁRIO
   amerikanu",Merica 1. top. América;    xi 1. conj. se;,Vocabulario,Dicionário
Estados Unidos     xikola,escola,Vocabulario,Dicionário
difêrentxi,da América,Vocabulario,Dicionário
xinxan,montxi adv. muito          rapidamente,Vocabulario,Dicionário
dumu,moer,Vocabulario,Dicionário
nho,nada              xtanjêw n. estrangeiro,Vocabulario,Dicionário
fansêji,francês,Vocabulario,Dicionário
palava,palavra          zuda v. ajudar,Vocabulario,Dicionário
santome             palixa,conversar,Vocabulario,Dicionário
Gaban,Gabão          pidixi 1. conj. porque;,Vocabulario,Dicionário
"por causa de
   gogo",gostar,Vocabulario,Dicionário
ingêxi,inglês,Vocabulario,Dicionário
"português
   ke",forma,Vocabulario,Dicionário
"entender
   lunge",idioma,Vocabulario,Dicionário
Ukabu Vêêdê,maxi adv. mais            Cabo Verde,Vocabulario,Dicionário
alikansa,alcançar                 mina v. escorrer,Vocabulario,Dicionário
baa,brilhar                       montxya v. caçar,Vocabulario,Dicionário
baga,trocar dinheiro              môôdê v. morder,Vocabulario,Dicionário
barwa,esconder                    môxê v. misturar,Vocabulario,Dicionário
basa,abaixar                      myansa v. ameaçar,Vocabulario,Dicionário
bele,cortar                       ndika v. indicar,Vocabulario,Dicionário
bera,berrar                       nhanu v. arranhar,Vocabulario,Dicionário
beza,beijar                       pega v. pregar,Vocabulario,Dicionário
biga,brigar                       poxta v. apostar,Vocabulario,Dicionário
boka,derramar                     poya v. apoiar,Vocabulario,Dicionário
passar    pyoro,piorar,Vocabulario,Dicionário
buli,mexer                        reda v. herdar,Vocabulario,Dicionário
dêvê,dever                        refoga v. refogar,Vocabulario,Dicionário
abandonar   remedya,remediar,Vocabulario,Dicionário
fôfô,inflamar                     rêpendê v. arrepender,Vocabulario,Dicionário
gajiga,engasgar                   reza v. rezar,Vocabulario,Dicionário
gansa,agarrar                     rota v. estragar,Vocabulario,Dicionário
gbô,defecar                       saka v. vomitar,Vocabulario,Dicionário
juga,julgar                       sakapuli v. escapar,Vocabulario,Dicionário
kansa,repousar                    santa v. alisar,Vocabulario,Dicionário
konvêsê,convencer                 tempa v. preparar comida,Vocabulario,Dicionário
kopya,copiar                      tolo v. beliscar,Vocabulario,Dicionário
kunu,arrumar                      tono v. picar,Vocabulario,Dicionário
kupi,cuspir                       toxi v. tossir,Vocabulario,Dicionário
kuupa,culpar                      va v. rachar,Vocabulario,Dicionário
landa,nadar                       vaa v. passar,Vocabulario,Dicionário
pisar        wô,crescer,Vocabulario,Dicionário
lolo,lamber                       xin v. espremer,Vocabulario,Dicionário
manga,troçar,Vocabulario,Dicionário
menda,emendar,Vocabulario,Dicionário
Lunge Ukabu Vêêdê,descendente,Vocabulario,Dicionário
minu kêtê da       dixkusu,discurso,Vocabulario,Dicionário
adu ki ine          Kamaan,desendentxi Ukabu Vêêdê ki vika fo.                                Camarões,Vocabulario,Dicionário
kumê,comida,Vocabulario,Dicionário
kuxi,cozinhar,Vocabulario,Dicionário
ngola,angolar,Vocabulario,Dicionário
Nijya,Nigéria,Vocabulario,Dicionário
etxima kaaxi          nove,nove,Vocabulario,Dicionário
pêêdê,perder,Vocabulario,Dicionário
peetu,perto,Vocabulario,Dicionário
pepelu,papel,Vocabulario,Dicionário
pimarya,escola,Vocabulario,Dicionário
pôfêsô,professor,Vocabulario,Dicionário
pogama,programa,Vocabulario,Dicionário
pojetu,projeto,Vocabulario,Dicionário
radio,rádio,Vocabulario,Dicionário
tandu,desde,Vocabulario,Dicionário
"VOCABULÁRIO
  bela",berla              pidi kwê manda pro. por que,Vocabulario,Dicionário
divya,deveria           pidi kwê sa pro. por que,Vocabulario,Dicionário
poveta,aproveitar,Vocabulario,Dicionário
pudya,poderia,Vocabulario,Dicionário
dwintxi,doente,Vocabulario,Dicionário
kêtê,pequeno          2. v. chamar-se,Vocabulario,Dicionário
konta,encontrar         so adv. somente,Vocabulario,Dicionário
konvesa,conversar       telefoni n. telefone,Vocabulario,Dicionário
manda,mandar            uman n. mão,Vocabulario,Dicionário
ontxi,ontem           ya compl. que,Vocabulario,Dicionário
pidi,por que          zubyan n. bolso,Vocabulario,Dicionário
"es do corpo
     bêzu-bêzu",queixo            kosan n. coração            ubaaku-uku n. ânus,Vocabulario,Dicionário
bibi,vagina                 kôsô n. coxa                ubaasu n. braço,Vocabulario,Dicionário
mbigu,umbigo          kusukusu-uman               ubasu n. baço,Vocabulario,Dicionário
ubasu-uman,axila,Vocabulario,Dicionário
iga                  lombô,ombro,Vocabulario,Dicionário
ubuka,boca,Vocabulario,Dicionário
bweega-ope,panturilha       lunge n. língua,Vocabulario,Dicionário
udedu,dedo,Vocabulario,Dicionário
bweega-uman,palma           mbasa n. costela,Vocabulario,Dicionário
perna,indicador,Vocabulario,Dicionário
figadu,fígado,Vocabulario,Dicionário
udedu-gaani,dedão,Vocabulario,Dicionário
ganiga,virilha              2. n. garganta,Vocabulario,Dicionário
udedu-kitxi,mindinho,Vocabulario,Dicionário
idintxi,dente               pena n. perna,Vocabulario,Dicionário
udedu-metedi,dedo,Vocabulario,Dicionário
ifi-pene,pelo               pene-uê n. cílio            médio,Vocabulario,Dicionário
ikpe,testículos             pesena-uê n. sobrancelha    udedu-neli n. anelar,Vocabulario,Dicionário
ikpe-uê,íris                pilolo n. pênis             udedu-ope n. dedo do pé,Vocabulario,Dicionário
irixi,nariz                 puluman n. pulmão           uê n. olho,Vocabulario,Dicionário
rosto     puusu,pulso              ugbami n. bochecha,Vocabulario,Dicionário
kabelu,cabelo               puusu-uman n. antebraço     uku n. nádegas,Vocabulario,Dicionário
kabese,cabeça               rinji n. rim                ukundu n. pelo pubiano,Vocabulario,Dicionário
"e axilar
     kadya",nádegas               sola n. sola do pé,Vocabulario,Dicionário
akanhan              taaxi,costas,Vocabulario,Dicionário
umunha,unha,Vocabulario,Dicionário
taaxi-ôtô,nuca,Vocabulario,Dicionário
kaseda,mandíbula                                        urya 1. n. ouvido;,Vocabulario,Dicionário
teta,testa,Vocabulario,Dicionário
"orelha
     kiika",vagina,Vocabulario,Dicionário
